city,count
null,7
BAKERSVILLE,8
GILMAN,9
WHITTIER,582
SAINTE MARIE,1
BBB,1
PARISH,4
SCOTTS,3
WACCABUC,3
MASPETH,39
THE VILLAGES,1010
WAGRAM,8
HUNLOCK CREEK,13
CASCADE LOCKS,5
TIMBERCRK CYN,1
RAYWOOD,2
LLANO,26
MOUNT CALVARY,1
BURBANK,373
STRAUSSTOWN,1
GARFIELD HEIGHTS,61
COELLO,1
REMINDERVILLE,8
EDINBURG,317
ALGOMA,10
FONDA,9
BOISSEVAIN,2
DUNNEGAN,2
HICKORY,155
WIND LAKE,12
SOUTH HAMPTON,1
OLD HICKORY,99
VESTA,1
SOUTHWEST HBR,2
STOW,102
DRY RIDGE,19
INTERVALE,3
SENECA,111
NOWTHEN,7
THAYER,15
THORNVILLE,31
DEWEESE,2
HOLDINGFORD,5
SCHENEVUS,4
UNION PARK,1
CHOKOLOSKEE,2
FLUKER,1
KINGFISHER,15
CANYON,75
STEVENSON,16
BETHEL,159
NORTH BETHESDA,16
CHULUOTA,40
ALGOOD,1
SKIPWITH,2
MODOC,4
SINGERS GLEN,1
LADDONIA,1
HOFFMAN,2
ALTURA,2
BURDEN,3
PITTSVILLE,11
WINDBER,17
ELYSIAN,3
NEBO,18
MOUNT AIRY,148
RED CLIFF,1
BEE,2
DHFF,1
CORNELL,8
FOUNTAIN,137
HAVENSVILLE,2
CRESTONE,10
BENBROOK,101
DAPHNE,214
HARRISON TWP,17
NORTH SWANZEY,1
DAUPHIN,8
ELVERTA,29
MCALL,1
UNION BRIDGE,14
NEW BROCKTON,6
WOODLAWN,25
COLBERT,55
JBSA FT SAM HOUSTON,1
ALGONA,23
MOON TWP,3
SUTHERLAND,14
EMERYVILLE,80
GILMER,66
WARREN,767
BOULEVARD,7
ADKINS,18
LEONARD,23
PIXLEY,13
BLAIRS MILLS,2
CLEVELAND,2132
ANTIGO,22
LITHONIA,315
OHIO,1
BLOOMBURG,4
CON CITY,1
FOLKSTON,17
SHADY COVE,13
HORSE BRANCH,1
POINT PLEASANT BORO,48
BERNARDSVILLE,24
LOCKBOURNE,10
WINDERMERE,292
GRANADA,2
BUCHANAN DAM,9
TOLONO,10
MOUND HOUSE,2
GRANT TOWNSHIP,4
MORRISON,114
KINGS ISLAND,1
KEY LARGO,124
PONTE VEDRA BEACH,548
WILLSBORO,3
SALISBURY,325
ELLINWOOD,17
GAINESBORO,17
NEVILS,1
COOPER LANDING,1
HARAHAN,24
LA RUSSELL,1
PINOLA,2
PUCHUTA,1
LOVELAND,465
PORT LUDLOW,22
COPLEY,44
CORTLANDT MANOR,35
BRECKENRIDGE HILLS,3
NEVADA CITY,125
NORTH BABYLON,35
CHAUVIN,20
RUSHFORD,7
VESTAVIA HILLS,79
OLD RIVER WINFREE,3
PINOLE,85
RENSSELAER FALLS,2
CALICO ROCK,4
LEAD HILL,3
LAKE HELEN,29
WAHIAWA,14
DECKER,2
FOSTER,14
BIM,1
HEATHCOTE,1
RYDER,1
SMITHDALE,4
POINT REYES STATION,3
QUARRYVILLE,17
CROTHERSVILLE,8
FLEMING ISLE,41
PINE BROOK,16
KNIFLEY,3
ARLINGTON,2208
NORA SPRINGS,5
BULLARD,52
NORTH OAKS,7
CHERRY HILL,262
NORTH ZULCH,8
PENITAS,16
FREEMAN SPUR,2
FT MYERS BCH,38
NORTH TAZEWELL,6
POWERS,1
WEST HICKORY,1
VILLA GROVE,11
WOODINVILLE,96
READFIELD,7
HIDALGO,34
MERIDIAN,380
RINCON,96
TABLE ROCK,2
HERBSTER,1
SILVERSTREET,1
EPWORTH,7
STRATTANVILLE,4
CARRIZO SPGS,2
HIGH RIDGE,60
HOGTOWN,1
PELICAN RAPIDS,15
CASS CITY,10
SHOSHONE,9
FARBER,1
SCOFIELD,2
CORNISHVILLE,1
GROVETON,4
BYARS,2
MITCHELL,97
BOURBONNAIS,73
MENDENHALL,18
LOUP CITY,3
SAINT ALBANS BAY,1
WALNUTPORT,22
LOGANVILLE,262
NESKOWIN,5
TULLOS,2
BLY,5
BUFFALO CENTER,2
KNIPPA,3
ST CLARA,1
CARPENTER,1
WOODLAND,441
BASS RIVER,1
EAST HAMPTON,108
NEW BETHLEHEM,5
LIMINGTON,7
LAKEWAY,75
SHINGLEHOUSE,5
IRVING,1029
INDIANAPOLIS,3207
MC ARTHUR,10
GOOD THUNDER,2
IRVINE,1115
VERSAILLES,93
BREMOND,5
LATEXO,1
SAINT LOUISVILLE,3
SCOTIA,13
KEYPORT,47
BAKERS,1
ALGONAC,11
WHITSETT,30
GILBERTON,2
BREEZY POINT,19
QUAIL VALLEY,5
BRUCETON MILLS,2
BAY SAINT LOUIS,37
S YARMOUTH,3
NORTH ENGLISH,2
YELM,68
AUSTINBURG,6
PETERBOROUGH,6
HGVHBJH,1
SHAWANO,15
JOHNSON CREEK,8
BOW,25
LARRABEE,1
ALLENSVILLE,1
SUITLAND,55
CHERRY CREEK,5
RENVILLE,5
CARMEL VALLEY,33
EAST RUTHERFORD,24
HOBBS,229
HOLTON,20
GANADO,7
COPIAGUE,27
PENNELLVILLE,6
MEXICAN HAT,1
HUTTO,199
NEMO,9
MOUNT OLIVE,60
FOX POINT,21
OYSTER BAY,15
BALBOA ISLAND,1
HASTINGS ON HUDSON,13
GASPORT,13
STUART,816
CISSNA PARK,6
ZIEGLERVILLE,2
CHATTANOOGA,618
SCOTTS VALLEY,101
REDWOOD FALLS,4
BYFIELD,1
MC ALISTERVLE,2
AVISTON,9
CLEAR LAKE SHORES,7
PAULINE,14
PEACE VALLEY,3
VADNAIS HTS,1
BRADENTON BCH,5
PARKERFIELD,1
PAULINA,11
WHITINGHAM,2
BERTRAM,24
COSHOCTON,36
LOGAN TOWNSHIP,12
LUTHERVILLE TIMONIUM,59
WOODWARD,54
O FALLON,448
CONNEAUT,45
EIGHT MILE,35
DRAKE,7
RED BLNG SPGS,3
EAST SPRINGFIELD,4
HOLSTEIN,5
ST LOUIS PARK,39
GLENDALE,2059
W BARNSTABLE,2
LUDINGTON,35
BRINKLEY,7
SENTINEL BUTTE,1
GUILFORD,107
SAUK CITY,7
NORTH ST PAUL,14
BOOTHBAY,3
BOKOSHE,2
SAN LEON,25
FORT WHITE,42
BELLWOOD,68
RUFFIN,17
BALCONES HEIGHTS,2
SACKETS HARBOR,1
MEADOWBROOK,4
PIONEER,64
TUNAS,1
ALTAVISTA,16
NESCONSET,28
RAMONA,212
SWEET HOME,45
ROYSTON,18
MC CLELLANDTOWN,5
STAR CITY,15
ALAMO,187
WOODCLIFF LAKE,13
CORAL GABLES,301
PEDRICKTOWN,2
MIDVALE,69
CARLTON LNDG,1
DRAIN,12
SYOSSET,72
AMSTERDAM,69
LENNI,2
GRAY,109
LICKING,7
EL DORADO SPG,5
SAINT ROBERT,38
NOWHERE,1
CITY RANCH,1
DERIDDER,64
EL JEBEL,2
BUD,1
HAVERTOWN,118
KEYSER,19
BRADLEY,55
GILMON,1
CATSKILL,22
BARATARIA,5
BIRDSBORO,51
HAMILTON SQUARE,1
MURRAYSVILLE,1
HECTOR,5
GOODSPRING,2
ANTHON,1
HUNTINGTON WOODS,17
CAVOUR,1
BEAN STATION,23
WHITECLAY,1
NORTH AUGUSTA,146
TIVOLI,6
GRUBVILLE,3
RIVERVIEW,1205
ELEROY,1
JEANETTE,1
CALUMET,10
DINUBA,75
EDGARTOWN,9
KINSALE,2
WEST NEW YORK,44
NANTUCKET,9
ATLANTIC BCH,37
BANNISTER,2
WENTWORTH,5
FRIEND,2
SELIGMAN,14
ST JOSEPH,2
TUCKAHOE,18
BROOKINGS,55
VANCLEVE,1
COACHELLA,69
SOMERVILLE,197
HUGO,80
KING GEORGE,71
