zip,count
null,11
97358,9
97355,91
97357,2
97351,19
24416,17
97352,14
12439,3
85379,356
85377,55
85378,61
12430,4
36401,18
85375,241
12431,3
12436,1
85373,165
85374,339
12435,2
12440,4
97347,1
24421,5
97344,5
97343,3
97346,6
24422,11
97345,2
97342,3
24426,37
97341,13
12449,3
12443,7
12444,4
85367,154
12441,1
85364,254
12442,1
85365,252
85362,4
12448,3
85363,52
85360,1
12446,11
85361,39
85392,304
85390,61
97377,5
97376,6
97378,14
97375,2
97374,20
12418,1
12419,2
12416,1
97371,1
97370,21
12410,3
12414,22
85395,236
85396,353
12413,14
85381,171
97369,1
97366,3
97365,44
24401,83
97368,9
97367,43
97362,11
97361,26
97364,1
12427,2
97360,9
12428,15
12421,1
85388,259
12422,2
85387,197
85385,1
12423,5
85382,304
12424,2
85383,586
97394,14
97396,11
97391,16
97390,3
97392,13
97388,7
97389,1
97383,24
97386,45
97385,8
12407,2
97380,5
12405,4
12406,3
97381,34
12404,11
12401,80
L0R 1Y0,1
36360,67
48348,78
48346,69
61320,2
61321,1
73301,33
61322,5
24378,1
61325,6
61326,1
61327,2
61319,2
24370,7
24375,2
75972,17
75973,5
75974,6
75975,6
48342,33
48341,42
75977,2
48340,49
75979,35
36350,23
36351,6
36352,15
48336,67
61330,1
36353,4
48335,64
99921,1
48334,64
61335,1
61337,2
24380,7
24382,29
24381,9
75961,29
87943,1
87942,2
75964,32
48331,61
75965,47
75966,17
75968,3
75969,6
99918,1
48329,92
48328,100
48327,60
36340,9
48326,71
61341,19
48324,53
61342,15
48323,78
61344,1
24354,28
61345,1
61348,11
61349,1
24351,2
24350,3
24352,2
36344,16
48322,125
36345,41
36346,1
48320,13
85310,139
48317,70
48316,72
61350,49
48315,89
36330,140
48314,70
48313,92
61353,3
48312,108
61354,31
24366,1
61356,19
24368,9
61358,1
85308,354
24360,15
85306,134
75980,9
85307,62
85304,174
24361,8
85305,85
85302,227
24363,5
85303,182
48310,149
85301,190
48307,113
48306,75
61360,7
61361,4
48304,53
61362,7
36320,7
48302,71
61364,41
97317,44
36321,7
48301,59
24333,39
61367,2
61368,5
61369,4
48309,85
85339,293
85337,4
85338,505
85335,268
24330,4
85336,60
